,location_id,year,PAINDX2_yes_value,PAINDX2_yes_sample,PAINDX2_no_value,PAINDX2_no_sample,PASTAE2_yes_value,PASTAE2_yes_sample,PASTAE2_no_value,PASTAE2_no_sample,PASTRNG_yes_value,PASTRNG_yes_sample,PASTRNG_no_value,PASTRNG_no_sample,TOTINDA_yes_value,TOTINDA_yes_sample,TOTINDA_no_value,TOTINDA_no_sample
371,98,2015,51.3,51.0,48.7,51.0,20.3,51.0,79.7,51.0,30.2,51.0,69.8,51.0,73.8,51,26.2,51
372,98,2016,,,,,,,,,,,,,76.9,51,23.2,51
373,98,2017,50.6,51.0,49.4,51.0,20.3,51.0,79.7,51.0,30.2,51.0,69.8,51.0,74.4,51,25.6,51
374,98,2018,,,,,,,,,,,,,76.2,51,23.8,51
375,98,2019,50.1,50.0,50.0,50.0,23.2,50.0,76.8,50.0,35.7,50.0,64.4,50.0,73.7,50,26.3,50
376,98,2020,,,,,,,,,,,,,77.6,51,22.4,51
377,98,2021,,,,,,,,,,,,,76.3,50,23.7,50
378,99,2015,51.0,53.0,49.0,53.0,20.3,53.0,79.7,53.0,30.2,53.0,69.8,53.0,73.8,53,26.2,53
379,99,2016,,,,,,,,,,,,,76.7,54,23.3,54
380,99,2017,50.2,53.0,49.8,53.0,20.3,53.0,79.7,53.0,30.2,53.0,69.8,53.0,74.3,53,25.7,53
381,99,2018,,,,,,,,,,,,,76.2,53,23.8,53
382,99,2019,49.9,52.0,50.1,52.0,22.8,52.0,77.2,52.0,35.7,52.0,64.4,52.0,73.6,52,26.4,52
383,99,2020,,,,,,,,,,,,,77.3,53,22.7,53
384,99,2021,,,,,,,,,,,,,76.3,53,23.7,53
